---sec : 10  us : 507426--- ---./case0_1--- 
---sec : 8  us : 695543--- ---./case1_1--- 
---sec : 8  us : 835911--- ---./case2_1--- 
---sec : 9  us : 568843--- ---./case3_1--- 
---sec : 9  us : 54413--- ---./case4_1--- 
---sec : 9  us : 461863--- ---./case5_1--- 
---sec : 9  us : 159339--- ---./case6_1--- 
---sec : 9  us : 384116--- ---./case7_1--- 
---sec : 9  us : 350874--- ---./case8_1--- 
---sec : 4  us : 825498--- ---./case11_2--- 
---sec : 4  us : 728221--- ---./case12_2--- 
---sec : 4  us : 538328--- ---./case13_2--- 
---sec : 4  us : 787084--- ---./case14_2--- 
---sec : 4  us : 507039--- ---./case15_2--- 
---sec : 4  us : 992427--- ---./case16_2--- 
---sec : 4  us : 846685--- ---./case18_2--- 
---sec : 4  us : 881496--- ---./case19_2--- 
---sec : 2  us : 434834--- ---./case20_3--- 
---sec : 2  us : 745106--- ---./case21_3--- 
---sec : 2  us : 378243--- ---./case22_3--- 
---sec : 2  us : 381530--- ---./case24_3--- 
---sec : 2  us : 526876--- ---./case25_3--- 
---sec : 2  us : 482025--- ---./case26_3--- 
---sec : 2  us : 471516--- ---./case27_3--- 
---sec : 2  us : 491267--- ---./case28_3--- 
---sec : 2  us : 368767--- ---./case29_3--- 
---sec : 0  us : 548118--- ---./case30_4--- 
---sec : 0  us : 567110--- ---./case31_4--- 
---sec : 0  us : 625473--- ---./case32_4--- 
---sec : 0  us : 610377--- ---./case33_4--- 
---sec : 0  us : 575766--- ---./case36_4--- 
---sec : 0  us : 652660--- ---./case38_4--- 
---sec : 0  us : 296074--- ---./case40_5--- 
---sec : 0  us : 308453--- ---./case41_5--- 
---sec : 0  us : 332558--- ---./case43_5--- 
---sec : 0  us : 300572--- ---./case44_5--- 
---sec : 0  us : 293503--- ---./case45_5--- 
---sec : 0  us : 302483--- ---./case46_5--- 
---sec : 0  us : 285955--- ---./case48_5--- 
---sec : 0  us : 288811--- ---./case49_5--- 
---sec : 0  us : 150788--- ---./case51_6--- 
---sec : 0  us : 148949--- ---./case53_6--- 
---sec : 0  us : 142325--- ---./case54_6--- 
---sec : 0  us : 174106--- ---./case55_6--- 
---sec : 0  us : 140200--- ---./case56_6--- 
---sec : 0  us : 134800--- ---./case57_6--- 
---sec : 0  us : 133164--- ---./case58_6--- 
---sec : 0  us : 163141--- ---./case59_6--- 
---sec : 0  us : 80339--- ---./case60_7--- 
---sec : 0  us : 73880--- ---./case61_7--- 
---sec : 0  us : 76787--- ---./case62_7--- 
---sec : 0  us : 64058--- ---./case63_7--- 
---sec : 0  us : 71375--- ---./case65_7--- 
---sec : 0  us : 89901--- ---./case68_7--- 
---sec : 0  us : 96187--- ---./case69_7--- 
---sec : 0  us : 33470--- ---./case70_8--- 
---sec : 0  us : 42047--- ---./case71_8--- 
---sec : 0  us : 40537--- ---./case72_8--- 
---sec : 0  us : 36801--- ---./case73_8--- 
---sec : 0  us : 32882--- ---./case74_8--- 
---sec : 0  us : 33178--- ---./case75_8--- 
---sec : 0  us : 37163--- ---./case76_8--- 
---sec : 0  us : 32864--- ---./case77_8--- 
---sec : 0  us : 33558--- ---./case78_8--- 
---sec : 0  us : 33396--- ---./case79_8--- 
---sec : 0  us : 16604--- ---./case80_9--- 
---sec : 0  us : 17296--- ---./case81_9--- 
---sec : 0  us : 16635--- ---./case82_9--- 
---sec : 0  us : 16877--- ---./case83_9--- 
---sec : 0  us : 16713--- ---./case84_9--- 
---sec : 0  us : 16764--- ---./case85_9--- 
---sec : 0  us : 16972--- ---./case87_9--- 
---sec : 0  us : 17042--- ---./case88_9--- 
