---sec : 8  us : 887006--- ---./case0_1--- 
---sec : 9  us : 510497--- ---./case1_1--- 
---sec : 9  us : 77244--- ---./case2_1--- 
---sec : 9  us : 529125--- ---./case3_1--- 
---sec : 10  us : 541597--- ---./case4_1--- 
---sec : 9  us : 910252--- ---./case5_1--- 
---sec : 9  us : 529277--- ---./case6_1--- 
---sec : 9  us : 576267--- ---./case7_1--- 
---sec : 9  us : 650099--- ---./case8_1--- 
---sec : 4  us : 993905--- ---./case11_2--- 
---sec : 4  us : 940541--- ---./case12_2--- 
---sec : 4  us : 793317--- ---./case13_2--- 
---sec : 4  us : 713527--- ---./case14_2--- 
---sec : 4  us : 817401--- ---./case15_2--- 
---sec : 4  us : 667083--- ---./case16_2--- 
---sec : 4  us : 869054--- ---./case18_2--- 
---sec : 4  us : 961414--- ---./case19_2--- 
---sec : 2  us : 349855--- ---./case20_3--- 
---sec : 2  us : 241041--- ---./case21_3--- 
---sec : 2  us : 298597--- ---./case22_3--- 
---sec : 2  us : 462119--- ---./case24_3--- 
---sec : 2  us : 568356--- ---./case25_3--- 
---sec : 2  us : 409992--- ---./case26_3--- 
---sec : 2  us : 335510--- ---./case27_3--- 
---sec : 2  us : 444641--- ---./case28_3--- 
---sec : 2  us : 347184--- ---./case29_3--- 
---sec : 0  us : 588198--- ---./case30_4--- 
---sec : 0  us : 616911--- ---./case31_4--- 
---sec : 0  us : 584093--- ---./case32_4--- 
---sec : 0  us : 534361--- ---./case33_4--- 
---sec : 0  us : 550281--- ---./case36_4--- 
---sec : 0  us : 670559--- ---./case38_4--- 
---sec : 0  us : 313626--- ---./case40_5--- 
---sec : 0  us : 281029--- ---./case41_5--- 
---sec : 0  us : 271603--- ---./case43_5--- 
---sec : 0  us : 271388--- ---./case44_5--- 
---sec : 0  us : 308401--- ---./case45_5--- 
---sec : 0  us : 298027--- ---./case46_5--- 
---sec : 0  us : 322657--- ---./case48_5--- 
---sec : 0  us : 308719--- ---./case49_5--- 
---sec : 0  us : 158283--- ---./case51_6--- 
---sec : 0  us : 143097--- ---./case53_6--- 
---sec : 0  us : 163123--- ---./case54_6--- 
---sec : 0  us : 162860--- ---./case55_6--- 
---sec : 0  us : 130103--- ---./case56_6--- 
---sec : 0  us : 143254--- ---./case57_6--- 
---sec : 0  us : 146596--- ---./case58_6--- 
---sec : 0  us : 146633--- ---./case59_6--- 
---sec : 0  us : 72647--- ---./case60_7--- 
---sec : 0  us : 66846--- ---./case61_7--- 
---sec : 0  us : 65935--- ---./case62_7--- 
---sec : 0  us : 64212--- ---./case63_7--- 
---sec : 0  us : 67664--- ---./case65_7--- 
---sec : 0  us : 90296--- ---./case68_7--- 
---sec : 0  us : 99740--- ---./case69_7--- 
---sec : 0  us : 33362--- ---./case70_8--- 
---sec : 0  us : 25750--- ---./case71_8--- 
---sec : 0  us : 33959--- ---./case72_8--- 
---sec : 0  us : 33173--- ---./case73_8--- 
---sec : 0  us : 52658--- ---./case74_8--- 
---sec : 0  us : 37050--- ---./case75_8--- 
---sec : 0  us : 34835--- ---./case76_8--- 
---sec : 0  us : 33249--- ---./case77_8--- 
---sec : 0  us : 33413--- ---./case78_8--- 
---sec : 0  us : 33235--- ---./case79_8--- 
---sec : 0  us : 16672--- ---./case80_9--- 
---sec : 0  us : 30521--- ---./case81_9--- 
---sec : 0  us : 16567--- ---./case82_9--- 
---sec : 0  us : 24269--- ---./case83_9--- 
---sec : 0  us : 19896--- ---./case84_9--- 
---sec : 0  us : 18512--- ---./case85_9--- 
---sec : 0  us : 31861--- ---./case87_9--- 
---sec : 0  us : 19082--- ---./case88_9--- 
