---sec : 10  us : 172490--- ---./case0_1--- 
---sec : 9  us : 708406--- ---./case1_1--- 
---sec : 9  us : 546419--- ---./case2_1--- 
---sec : 9  us : 427732--- ---./case3_1--- 
---sec : 9  us : 446181--- ---./case4_1--- 
---sec : 9  us : 469212--- ---./case5_1--- 
---sec : 9  us : 541390--- ---./case6_1--- 
---sec : 9  us : 394911--- ---./case7_1--- 
---sec : 9  us : 447514--- ---./case8_1--- 
---sec : 4  us : 955376--- ---./case11_2--- 
---sec : 4  us : 853895--- ---./case12_2--- 
---sec : 4  us : 705060--- ---./case13_2--- 
---sec : 4  us : 500178--- ---./case14_2--- 
---sec : 4  us : 520079--- ---./case15_2--- 
---sec : 4  us : 575842--- ---./case16_2--- 
---sec : 4  us : 625565--- ---./case18_2--- 
---sec : 4  us : 316186--- ---./case19_2--- 
---sec : 2  us : 331428--- ---./case20_3--- 
---sec : 2  us : 136500--- ---./case21_3--- 
---sec : 2  us : 671187--- ---./case22_3--- 
---sec : 2  us : 538863--- ---./case24_3--- 
---sec : 2  us : 633006--- ---./case25_3--- 
---sec : 2  us : 393637--- ---./case26_3--- 
---sec : 2  us : 422327--- ---./case27_3--- 
---sec : 2  us : 509380--- ---./case28_3--- 
---sec : 2  us : 479984--- ---./case29_3--- 
---sec : 0  us : 654306--- ---./case30_4--- 
---sec : 0  us : 561746--- ---./case31_4--- 
---sec : 0  us : 606833--- ---./case32_4--- 
---sec : 0  us : 493806--- ---./case33_4--- 
---sec : 0  us : 669168--- ---./case36_4--- 
---sec : 0  us : 528600--- ---./case38_4--- 
---sec : 0  us : 313097--- ---./case40_5--- 
---sec : 0  us : 349072--- ---./case41_5--- 
---sec : 0  us : 283168--- ---./case43_5--- 
---sec : 0  us : 308454--- ---./case44_5--- 
---sec : 0  us : 285486--- ---./case45_5--- 
---sec : 0  us : 313257--- ---./case46_5--- 
---sec : 0  us : 289670--- ---./case48_5--- 
---sec : 0  us : 324753--- ---./case49_5--- 
---sec : 0  us : 151582--- ---./case51_6--- 
---sec : 0  us : 136407--- ---./case53_6--- 
---sec : 0  us : 148401--- ---./case54_6--- 
---sec : 0  us : 153395--- ---./case55_6--- 
---sec : 0  us : 162825--- ---./case56_6--- 
---sec : 0  us : 145199--- ---./case57_6--- 
---sec : 0  us : 127337--- ---./case58_6--- 
---sec : 0  us : 129395--- ---./case59_6--- 
---sec : 0  us : 89349--- ---./case60_7--- 
---sec : 0  us : 96446--- ---./case61_7--- 
---sec : 0  us : 77955--- ---./case62_7--- 
---sec : 0  us : 92802--- ---./case63_7--- 
---sec : 0  us : 87932--- ---./case65_7--- 
---sec : 0  us : 65157--- ---./case68_7--- 
---sec : 0  us : 90610--- ---./case69_7--- 
---sec : 0  us : 40802--- ---./case70_8--- 
---sec : 0  us : 34338--- ---./case71_8--- 
---sec : 0  us : 52398--- ---./case72_8--- 
---sec : 0  us : 53977--- ---./case73_8--- 
---sec : 0  us : 40046--- ---./case74_8--- 
---sec : 0  us : 43031--- ---./case75_8--- 
---sec : 0  us : 52207--- ---./case76_8--- 
---sec : 0  us : 48885--- ---./case77_8--- 
---sec : 0  us : 33070--- ---./case78_8--- 
---sec : 0  us : 54974--- ---./case79_8--- 
---sec : 0  us : 26216--- ---./case80_9--- 
---sec : 0  us : 20118--- ---./case81_9--- 
---sec : 0  us : 17146--- ---./case82_9--- 
---sec : 0  us : 16597--- ---./case83_9--- 
---sec : 0  us : 16577--- ---./case84_9--- 
---sec : 0  us : 16598--- ---./case85_9--- 
---sec : 0  us : 26325--- ---./case87_9--- 
---sec : 0  us : 22600--- ---./case88_9--- 
