---sec : 10  us : 99366--- ---./case0_1--- 
---sec : 8  us : 712889--- ---./case1_1--- 
---sec : 9  us : 769105--- ---./case2_1--- 
---sec : 9  us : 427382--- ---./case3_1--- 
---sec : 9  us : 673609--- ---./case4_1--- 
---sec : 9  us : 166725--- ---./case5_1--- 
---sec : 9  us : 898430--- ---./case6_1--- 
---sec : 9  us : 951737--- ---./case7_1--- 
---sec : 9  us : 271906--- ---./case8_1--- 
---sec : 5  us : 134737--- ---./case11_2--- 
---sec : 4  us : 743365--- ---./case12_2--- 
---sec : 5  us : 82950--- ---./case13_2--- 
---sec : 5  us : 24405--- ---./case14_2--- 
---sec : 4  us : 758527--- ---./case15_2--- 
---sec : 4  us : 929122--- ---./case16_2--- 
---sec : 4  us : 601171--- ---./case18_2--- 
---sec : 4  us : 568212--- ---./case19_2--- 
---sec : 2  us : 386134--- ---./case20_3--- 
---sec : 2  us : 312791--- ---./case21_3--- 
---sec : 1  us : 977436--- ---./case22_3--- 
---sec : 2  us : 443749--- ---./case24_3--- 
---sec : 2  us : 300668--- ---./case25_3--- 
---sec : 2  us : 415568--- ---./case26_3--- 
---sec : 2  us : 402063--- ---./case27_3--- 
---sec : 2  us : 285806--- ---./case28_3--- 
---sec : 2  us : 341962--- ---./case29_3--- 
---sec : 0  us : 637782--- ---./case30_4--- 
---sec : 0  us : 596091--- ---./case31_4--- 
---sec : 0  us : 653901--- ---./case32_4--- 
---sec : 0  us : 616610--- ---./case33_4--- 
---sec : 0  us : 628195--- ---./case36_4--- 
---sec : 0  us : 653370--- ---./case38_4--- 
---sec : 0  us : 282005--- ---./case40_5--- 
---sec : 0  us : 307101--- ---./case41_5--- 
---sec : 0  us : 303286--- ---./case43_5--- 
---sec : 0  us : 288799--- ---./case44_5--- 
---sec : 0  us : 309887--- ---./case45_5--- 
---sec : 0  us : 308221--- ---./case46_5--- 
---sec : 0  us : 359827--- ---./case48_5--- 
---sec : 0  us : 278184--- ---./case49_5--- 
---sec : 0  us : 134164--- ---./case51_6--- 
---sec : 0  us : 173613--- ---./case53_6--- 
---sec : 0  us : 132944--- ---./case54_6--- 
---sec : 0  us : 137443--- ---./case55_6--- 
---sec : 0  us : 149626--- ---./case56_6--- 
---sec : 0  us : 139086--- ---./case57_6--- 
---sec : 0  us : 145623--- ---./case58_6--- 
---sec : 0  us : 138348--- ---./case59_6--- 
---sec : 0  us : 81270--- ---./case60_7--- 
---sec : 0  us : 67399--- ---./case61_7--- 
---sec : 0  us : 70912--- ---./case62_7--- 
---sec : 0  us : 81715--- ---./case63_7--- 
---sec : 0  us : 66516--- ---./case65_7--- 
---sec : 0  us : 78373--- ---./case68_7--- 
---sec : 0  us : 73460--- ---./case69_7--- 
---sec : 0  us : 43853--- ---./case70_8--- 
---sec : 0  us : 29765--- ---./case71_8--- 
---sec : 0  us : 33143--- ---./case72_8--- 
---sec : 0  us : 33277--- ---./case73_8--- 
---sec : 0  us : 33189--- ---./case74_8--- 
---sec : 0  us : 32955--- ---./case75_8--- 
---sec : 0  us : 34330--- ---./case76_8--- 
---sec : 0  us : 16384--- ---./case77_8--- 
---sec : 0  us : 33170--- ---./case78_8--- 
---sec : 0  us : 32859--- ---./case79_8--- 
---sec : 0  us : 27756--- ---./case80_9--- 
---sec : 0  us : 23454--- ---./case81_9--- 
---sec : 0  us : 19804--- ---./case82_9--- 
---sec : 0  us : 27300--- ---./case83_9--- 
---sec : 0  us : 22080--- ---./case84_9--- 
---sec : 0  us : 18845--- ---./case85_9--- 
---sec : 0  us : 20450--- ---./case87_9--- 
---sec : 0  us : 25063--- ---./case88_9--- 
